"","row","col",""
"1",25839,36,11.7622433687761
"2",51546,36,11.2489547079443
"3",25839,37,11.2412195966051
"4",30185,85,11.2023471485424
"5",35164,85,10.9424296980662
"6",47908,85,12.0125189502742
"7",262,102,13.2038558434141
"8",3618,102,11.0020246607604
"9",23167,102,11.2866172301811
"10",23431,102,11.5340005433727
"11",56649,102,13.5990185311185
"12",56650,102,11.4705437454954
"13",57111,102,10.9250200972251
"14",37944,136,11.1251070209697
"15",262,182,10.9335188497664
"16",37949,182,11.2782462093315
"17",56649,182,11.3749290830505
"18",57111,182,11.0495532900938
"19",47342,234,10.9696531403545
"20",7477,241,11.132665415441
"21",30185,241,10.8997629897564
"22",7477,242,11.1319685483973
"23",25176,242,11.0306967319617
"24",30185,242,10.9261660645118
"25",35229,242,11.1539289551095
"26",56649,261,11.0342445009309
"27",37944,262,10.9936002319671
"28",57111,262,11.4018435462362
"29",3618,263,10.9156401680092
"30",15551,263,11.6248833637103
"31",37848,263,11.3906904802074
"32",37873,263,12.4298772976943
"33",37944,263,12.701375645676
"34",56649,263,11.0156129321057
"35",37949,310,11.6834102279262
"36",56299,311,12.5101372269332
"37",37949,332,11.4213300697473
"38",7477,352,11.4758128501639
"39",56278,400,11.0258697439249
"40",15471,462,11.5000286314344
"41",35164,462,14.0829838085211
"42",43020,462,10.9376831105849
"43",25741,466,11.0627070394945
"44",30185,466,10.8972855558348
"45",35164,466,10.9437656838654
"46",43070,466,10.9843212948334
"47",43618,478,10.8798114640949
"48",25839,480,11.8082446926573
"49",51546,480,11.5369502119704
"50",262,497,13.5763078167941
"51",3618,497,11.0089652543076
"52",21751,497,10.8861792783548
"53",21778,497,11.1306795130091
"54",23167,497,10.9969775549241
"55",23343,497,12.5547442596429
"56",23431,497,11.1970277824114
"57",37383,497,12.2119925531319
"58",56649,497,13.7114409160546
"59",56650,497,10.9241444027592
"60",262,575,11.0271057689854
"61",7477,582,11.8979468764988
"62",25176,582,10.9491580169978
"63",36993,582,10.9046304362503
"64",37913,582,11.1560911343877
"65",37915,582,10.9251789589681
"66",37917,582,11.0246276154836
"67",50317,582,11.2350060589063
"68",57410,582,11.0437788370831
"69",57662,582,10.9496615934847
"70",262,609,11.170099502872
"71",16408,615,11.2908652330988
"72",29849,615,10.9924892704906
"73",29849,618,10.9094521883359
"74",4051,619,11.6571794508283
"75",4275,619,11.8849511545665
"76",4333,619,11.6308813997192
"77",25845,619,11.444845418858
"78",28933,619,11.0519008713876
"79",34270,619,13.178048409032
"80",34271,619,13.2594165160092
"81",37182,619,14.9796844152814
"82",37183,619,11.8828835943267
"83",37184,619,12.153983605192
"84",41913,619,11.5113461265861
"85",44178,619,12.4763903617463
"86",49121,619,10.9546906077801
"87",34271,622,10.8824226145024
"88",34271,623,11.2884972836524
"89",37182,623,11.4623892957707
"90",26260,626,10.9028954828343
"91",34271,626,11.8315233613762
"92",36559,626,10.929837473893
"93",37182,626,10.9079846797076
"94",41732,626,10.9915614506167
"95",262,657,11.099193206549
"96",57111,692,11.0097292577336
"97",25888,706,11.1367228741632
"98",28291,706,11.0500642130219
"99",57410,718,11.2620380302636
"100",262,721,11.4189570797906
"101",56649,721,11.6165517836712
"102",37949,727,11.3307539570185
"103",47342,727,11.7352368233069
"104",27058,742,10.907063593181
"105",37949,742,10.9999701972908
"106",51546,742,12.1385934687678
"107",56649,764,11.8938188555053
"108",37949,776,11.0889963154631
"109",262,800,11.1623959672813
"110",37944,800,11.1232385144488
"111",56649,800,11.2203665909221
"112",37944,801,11.0234009843554
"113",262,802,11.695052735989
"114",37944,802,11.4116117334975
"115",56649,802,11.7761285002121
"116",262,803,11.6460307537782
"117",37944,803,11.0211130509247
"118",47342,803,10.9550476261481
"119",56278,803,11.4386904369243
"120",56333,803,11.0687605115589
"121",56649,803,11.9615068280255
"122",57111,803,12.0505889715675
"123",57116,803,10.8870367207166
"124",262,804,11.4815502148965
"125",37944,804,10.9916555741908
"126",47342,804,10.8999797093414
"127",56278,804,11.3068530032552
"128",56649,804,11.8055197652563
"129",57111,804,11.9007018243729
"130",57116,804,11.1781579518527
"131",57122,804,11.0573455488217
"132",3543,807,10.9725567240209
"133",21778,807,11.0968013257412
"134",37949,807,11.5220018080026
